exp_num,min_df,max_df,depth,words,time,accuracy,error
66,111,735,4,322,130.3943989,0.252,0
43,165,789,4,205,83.74858427,0.248,0
57,80,778,4,461,189.7563629,0.248,0
7,168,640,12,181,211.1797218,0.244,0
49,64,620,6,550,310.0574136,0.236,0
52,144,793,12,245,182.821569,0.236,0
31,110,800,12,332,438.3090405,0.236,0
46,109,639,4,319,130.5237548,0.234,0
49,102,626,4,336,218.8376377,0.234,0
22,93,620,5,369,180.0988274,0.232,0
34,64,637,7,554,351.3851328,0.232,0
48,102,633,8,339,233.4377663,0.232,0
3,104,559,5,320,235.8570557,0.232,0
30,162,621,11,190,145.1431663,0.23,0
8,144,630,9,223,251.8623841,0.23,0
45,62,536,4,558,365.1923435,0.23,0
25,61,736,6,598,333.9909024,0.228,0
50,50,635,5,702,339.6095881,0.228,0
64,116,729,9,311,221.6334543,0.228,0
15,26,669,6,1343,758.5017018,0.228,0
42,27,598,4,1287,819.2558086,0.228,0
46,42,825,4,861,552.2523534,0.228,0
5,190,774,6,170,137.917794,0.226,0
9,193,620,6,143,121.1278026,0.226,0
15,113,751,11,318,253.7248559,0.226,0
16,106,771,12,344,427.2223694,0.226,0
22,109,910,10,345,435.3491805,0.226,0
29,151,756,5,230,168.6657095,0.226,0
47,168,751,8,199,186.2886689,0.226,0
0,89,705,4,402,270.4587688,0.224,0
12,148,615,8,209,157.9364583,0.224,0
18,181,635,9,157,107.0367715,0.224,0
40,155,633,8,206,136.2731593,0.224,0
41,181,761,6,175,91.08854246,0.224,0
58,145,772,6,241,128.3188157,0.224,0
73,81,604,7,427,273.8756654,0.224,0
28,120,745,10,302,356.9831159,0.224,0
67,168,706,7,193,114.4469168,0.222,0
27,53,844,6,689,643.0257332,0.222,0
37,62,954,10,602,785.9741764,0.222,0
6,123,759,7,293,270.3399689,0.22,0
17,119,768,7,304,186.0438478,0.22,0
21,138,605,5,230,111.4797866,0.22,0
24,79,782,6,468,267.1175919,0.22,0
36,151,776,9,231,155.8679819,0.22,0
42,76,704,4,481,203.1167228,0.22,0
45,86,616,8,399,278.4967268,0.22,0
56,127,766,9,279,195.0663347,0.22,0
62,59,750,11,619,563.845602,0.22,0
70,151,782,6,231,123.6586504,0.22,0
72,144,702,5,234,116.9389536,0.22,0
5,124,634,12,271,371.533705,0.22,0
9,104,853,8,356,371.5207901,0.22,0
17,87,583,8,387,447.7768254,0.22,0
48,88,686,8,402,429.0053365,0.22,0
32,195,687,10,152,105.0607545,0.218,0
39,139,707,4,245,99.6940496,0.218,0
47,87,736,11,411,348.6168559,0.218,0
38,91,921,4,412,257.5355859,0.218,0
10,151,717,4,225,143.6758587,0.216,0
20,121,607,11,274,232.9339774,0.216,0
28,197,716,5,155,71.04160213,0.216,0
33,123,762,12,293,237.8029571,0.216,0
44,118,693,5,298,142.586803,0.216,0
55,97,680,4,364,148.2789197,0.216,0
68,51,681,5,697,338.428184,0.216,0
1,121,449,10,241,280.7112253,0.216,0
40,170,422,5,134,93.86162901,0.216,0
2,108,668,8,327,328.4981329,0.214,0
4,170,669,11,183,214.527034,0.214,0
8,144,676,4,232,152.9628768,0.214,0
16,122,683,5,285,137.2326133,0.214,0
38,128,679,12,264,227.1551533,0.214,0
74,196,607,6,136,75.42375755,0.214,0
0,72,475,8,467,561.3622797,0.214,0
11,161,962,6,227,191.3375254,0.214,0
21,89,890,9,416,515.7221801,0.214,0
25,194,794,12,165,160.7837467,0.214,0
32,170,460,9,144,148.8064752,0.214,0
26,184,664,5,162,82.08096838,0.212,0
51,160,788,7,218,127.4285829,0.212,0
54,101,673,7,349,221.3113949,0.212,0
69,58,743,11,631,567.3743002,0.212,0
20,115,624,12,293,438.4131126,0.212,0
33,73,294,7,410,423.4403,0.212,0
13,60,718,8,605,434.5849118,0.21,0
23,99,795,6,368,203.0218024,0.21,0
27,143,655,5,233,113.0733981,0.21,0
29,155,728,6,222,117.5891058,0.21,0
31,94,763,9,388,285.7397554,0.21,0
59,72,759,10,512,419.115032,0.21,0
63,93,671,8,379,268.1982014,0.21,0
7,58,405,7,564,549.6641796,0.21,0
12,118,434,5,246,180.3548658,0.21,0
26,212,969,8,155,160.8345962,0.21,0
41,77,407,12,410,592.4583883,0.21,0
43,131,254,6,150,128.0438762,0.21,0
1,122,697,4,287,161.9067941,0.208,0
19,197,663,10,148,101.0680768,0.208,0
6,187,418,4,107,65.67646003,0.208,0
10,85,454,7,373,361.7554045,0.208,0
13,166,423,12,142,112.8593574,0.208,0
18,88,282,7,310,345.3136437,0.208,0
24,150,254,10,112,116.8840597,0.208,0
30,26,364,7,1278,1247.382763,0.208,0
35,135,696,9,252,285.4420428,0.208,0
11,114,654,5,303,245.393043,0.206,0
35,95,681,12,374,350.0069568,0.204,0
23,177,348,5,100,73.78708982,0.204,0
39,154,360,4,148,90.11636019,0.204,0
71,107,694,11,331,295.6089492,0.202,0
34,193,318,7,74,54.79969573,0.202,0
19,96,356,12,303,471.7468133,0.2,0
36,201,503,5,116,82.3675096,0.2,0
3,135,714,8,255,244.2939701,0.198,0
37,154,702,8,216,143.6637838,0.198,0
0,43,758,5,836,518.5953565,0.224,0
1,55,713,9,653,602.7016618,0.218,0
2,31,706,8,1146,1030.753351,0.214,0
